Library	Screen type	Worm Strain	Worm Stage	Chromosome no.	RNAi plate no.	Controls	RNAi Stamp date	Culture date	Freeze date	IPTG induction date	Assay date		Enhancer temp	Enhancer Imaging and OD date	Suppressor temp	Suppressor Imaging and OD date	CreationDate	Comments
					6	L4440	10/4/2016	17/04/2016	18/04/2016	19/04/2016	19/04/2016		17.5	25/04/2016 - 26/04/2016	23.3	24/04/2016
					7	L4440	11/4/2016	17/04/2016	18/04/2016	19/04/2016	19/04/2016		17.5	25/04/2016 - 26/04/2016	23.3	24/04/2016
					8	L4440	11/4/2016	17/04/2016	18/04/2016	19/04/2016	19/04/2016		17.5	25/04/2016 - 26/04/2016	23.3	24/04/2016
					9	L4440	11/4/2016	17/04/2016	18/04/2016	19/04/2016	19/04/2016		17.5	25/04/2016 - 26/04/2016	23.3	24/04/2016
																completed on 25/4//2016

RNAi Ahringer library	Enhancer and Suppressor	N2, mel-28	L1	IV	1	L4440	14/04/2016	26/04/2016	27/04/2016	27/04/2016	27/04/2016							Barcode labeller stopped working, unable to screen
					2	L4440	14/04/2016	26/04/2016	27/04/2016	27/04/2016	27/04/2016							3 sets - 1 for freezing, 2 for screening


					3	L4440	14/04/2016	9/5/2016	10/5/2016	11/5/2016	11/5/2016 and 12/05/2016		17.5	17/05/2016 - 18/05/2016	23.3	16/05/2016 - 17/05/2016	2016-05-16,2016-05-17,2016-05-18	3 sets - 1 for freezing, 2 for screening (20 hours apart)
					4	L4440	14/04/2016	9/5/2016	10/5/2016	11/5/2016	11/5/2016 and 12/05/2016		17.5	17/05/2016 - 18/05/2016	23.3	16/05/2016 - 17/05/2016

RNAi Ahringer library	Enhancer and Suppressor	N2, mel-28	L1	IV	5.A2	L4440				25/05/2016	25/05/2016		17.5	31/05/2017	23.3	30/05/3017	2016-05-30,2016-05-31
					5.B1	L4440				25/05/2016	25/05/2016		17.5	31/05/2017	23.3	30/05/3017
					5.B2	L4440				25/05/2016	25/05/2016		17.5	31/05/2017	23.3	30/05/3017
					7.B1	L4440				25/05/2016	25/05/2016		17.5	31/05/2017	23.3	30/05/3017
					7.B2	L4440				25/05/2016	25/05/2016		17.5	31/05/2017	23.3	30/05/3017
					8.A1	L4440				25/05/2016	25/05/2016		17.5	31/05/2017	23.3	30/05/3017
					8.A2	L4440				25/05/2016	25/05/2016		17.5	31/05/2017	23.3	30/05/3017
					8.B1	L4440				25/05/2016	25/05/2016		17.5	31/05/2017	23.3	30/05/3017

RNAi Ahringer library	Enhancer and Suppressor	N2, mel-28	L1	IV	5.Q1	None		30/05/2016	31/05/2016	1/6/2016	1/6/2016		17.5	7/6/2016	23.3	6/6/2016	2016-06-06,2016-06-07
					6.Q1			30/05/2016	31/05/2016	1/6/2016	1/6/2016		17.5	7/6/2016	23.3	6/6/2016
					6.Q2			30/05/2016	31/05/2016	1/6/2016	1/6/2016		17.5	7/6/2016	23.3	6/6/2016
					6.Q3			30/05/2016	31/05/2016	1/6/2016	1/6/2016		17.5	7/6/2016	23.3	6/6/2016
					6.Q4			30/05/2016	31/05/2016	1/6/2016	1/6/2016		17.5	7/6/2016	23.3	6/6/2016
					7.Q1			30/05/2016	31/05/2016	1/6/2016	1/6/2016		17.5	7/6/2016	23.3	6/6/2016
					7.Q2			30/05/2016	31/05/2016	1/6/2016	1/6/2016		17.5	7/6/2016	23.3	6/6/2016
					8.Q4			30/05/2016	31/05/2016	1/6/2016	1/6/2016		17.5	7/6/2016	23.3	6/6/2016

RNAi Ahringer library	Enhancer and Suppressor	N2, mel-28	L1	IV	1	None		6/6/2016	7/6/2016	8/6/2016	8/6/2016		17.5	14/06/2016	23.3	13/06/2016	2016-06-13,2016-06-14
					2			6/6/2016	7/6/2016	8/6/2016	8/6/2016		17.5	14/06/2016	23.3	13/06/2016
					9			6/6/2016	7/6/2016	8/6/2016	8/6/2016		17.5	14/06/2016	23.3	13/06/2016
					10.A1			6/6/2016	7/6/2016	8/6/2016	8/6/2016		17.5	14/06/2016	23.3	13/06/2016
					10.A2			6/6/2016	7/6/2016	8/6/2016	8/6/2016		17.5	14/06/2016	23.3	13/06/2016
					10.B2			6/6/2016	7/6/2016	8/6/2016	8/6/2016		17.5	14/06/2016	23.3	13/06/2016

RNAi Ahringer library	Enhancer and Suppressor	N2, mel-28	L1	IV	10.B1	None	7/6/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016	2016-06-28,2016-06-29,2016-06-30,2017-01-07
				V	1.A1		13/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					1.A2		13/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					1.B1		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					1.B2		13/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					2.A1		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					2.A2		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					2.B1		7/6/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					2.B2		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					3.A1		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					3.A2		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					3.B1		13/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					3.B2		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					4.A1		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					4.A2		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					4.B1		13/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					4.B2		7/6/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					5.A1		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					5.A2		13/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					5.B1		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					5.B2		13/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					6.A1		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					6.A2		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					6.B1		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					6.B2		14/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					7.A1		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					7.A2		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					7.B1		14/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
					7.B2		16/06/2016	21/06/2016	22/06/2016	23/06/2016	23/06/2016		17.5	30/06/2016	23.3	28/06/2016
														completed on 1/7/2016		completed on 29/6/2016

RNAi Ahringer library	Enhancer and Suppressor	N2, mel-28	L1	V	8.A1	L4440	21/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016	2016-07-04,2016-07-05,2016-07-06
					8.A2	L4440	21/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					8.B1	L4440	21/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					8.B2	L4440	21/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					9.A1	L4440	21/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					9.A2	L4440	21/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					9.B1	L4440	21/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					9.B2	L4440	21/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					10.A1	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					10.A2	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
					10.B1	L4440	22/06/2016	27/06/2016	28/06/2016	29/06/2016	29/06/2016		17.5	5/7/2016	23.3	4/7/2016
